Farm ID,Farm Size (Acres),Crop Type,Annual Yield (Tons),Soil pH,Rainfall (mm/year),Temperature (°C),Fertilizer Usage (kg/acre)
86,165.97,Rice,14.57,7.41,1803.8,30.06,359.01
87,366.16,Corn,54.0,6.66,1822.46,18.53,159.63
88,320.59,Wheat,22.3,7.52,1845.6,21.1,409.35
89,444.17,Corn,2.2,6.28,833.59,26.89,98.16
90,238.75,Wheat,24.88,6.54,1474.79,22.72,401.31
91,64.2,Wheat,97.61,8.25,761.78,31.54,459.59
92,358.06,Corn,80.35,6.37,624.04,31.65,222.28
93,381.59,Wheat,96.0,6.91,613.88,10.25,333.79
94,282.83,Wheat,49.3,8.17,881.58,29.45,243.56
95,386.63,Rice,11.86,7.62,1030.93,21.52,246.99
96,249.43,Wheat,55.25,5.69,1712.61,34.72,189.67
97,263.75,Corn,45.98,5.94,503.81,22.08,392.96
98,216.63,Corn,84.59,5.52,1549.37,34.67,471.28
99,17.58,Wheat,10.71,7.39,1203.47,28.86,473.34
100,58.41,Rice,49.34,6.84,789.51,16.22,128.65
101,20.56,Rice,15.85,5.9,1137.79,23.46,443.63
102,320.02,Wheat,33.14,8.37,809.9,34.8,381.84
103,160.61,Wheat,74.0,7.09,1313.34,31.44,163.78
104,256.74,Corn,48.13,6.23,1037.53,12.43,80.28
105,454.25,Wheat,38.21,7.0,579.49,27.66,170.6
106,128.4,Rice,40.05,7.54,498.19,18.64,460.49
107,208.14,Wheat,46.49,5.73,1229.38,10.17,334.93
108,379.0,Corn,78.72,6.32,1834.1,20.09,374.47
109,118.26,Corn,89.32,7.92,884.73,15.87,165.72
110,43.11,Corn,95.58,6.88,1546.1,30.47,373.72
111,148.43,Corn,78.9,7.14,1419.72,18.43,62.65
112,84.8,Corn,32.23,6.8,1883.64,30.69,218.89
113,465.2,Wheat,69.13,5.63,1695.67,10.01,332.04
114,405.02,Wheat,44.32,6.0,1263.23,17.7,115.74
115,318.53,Wheat,26.21,6.84,1416.95,16.03,420.35
116,436.37,Wheat,84.25,6.13,1827.26,15.84,155.76
117,402.82,Corn,4.8,5.65,979.18,11.7,343.53
118,97.35,Rice,90.27,8.03,855.55,14.68,232.34
119,446.82,Wheat,46.69,8.44,318.38,23.89,318.22
120,271.97,Rice,64.08,7.88,1705.14,17.28,98.35
121,404.68,Wheat,66.28,8.06,1661.67,20.43,57.61
122,448.57,Wheat,89.62,6.23,477.57,19.42,459.3
123,162.41,Rice,64.03,8.38,1280.66,31.9,171.33
124,59.48,Corn,61.78,6.09,1088.77,32.63,418.85
125,117.83,Wheat,7.6,8.35,501.81,22.32,499.71
126,216.42,Wheat,52.32,8.48,1966.97,18.25,145.14
127,409.92,Wheat,15.87,7.64,664.98,12.67,169.33
128,431.06,Rice,74.01,8.44,414.3,33.84,348.29
129,8.44,Corn,51.71,7.21,1311.24,11.51,484.45
130,257.82,Rice,68.34,6.28,1556.07,17.44,462.12
131,211.62,Rice,5.13,6.81,355.15,17.45,276.29
132,114.94,Corn,9.39,7.28,1419.82,18.01,407.8
133,64.33,Rice,71.92,5.72,1204.9,14.11,111.09
134,172.12,Corn,8.14,7.37,475.55,29.58,489.85
135,471.74,Wheat,8.05,8.44,593.29,13.06,483.96
136,164.99,Corn,2.2,6.07,1265.56,25.87,123.68
137,261.8,Wheat,95.69,7.88,803.81,13.1,184.74
138,352.99,Rice,74.01,8.22,1895.14,11.76,95.07
139,185.0,Rice,35.97,8.33,1691.86,32.74,172.27
140,486.03,Wheat,30.36,8.38,1972.06,14.75,417.18
141,481.41,Rice,35.62,7.06,741.44,30.53,220.24
142,129.63,Corn,77.69,8.43,1948.53,23.62,89.78
143,251.14,Wheat,66.48,7.77,1033.1,11.95,204.0
144,153.93,Rice,19.33,5.99,890.78,33.89,491.62
145,146.0,Wheat,18.24,6.93,385.59,16.17,333.36
146,23.26,Corn,10.74,7.65,389.7,31.49,237.27
147,306.73,Corn,66.37,6.24,1476.42,14.22,124.94
148,253.83,Rice,76.67,7.42,1078.48,31.35,493.78
149,30.48,Corn,27.24,7.5,685.09,10.33,419.38
150,142.93,Wheat,3.07,5.99,1343.75,22.79,176.66
151,454.59,Corn,9.13,7.2,729.86,29.24,81.53
152,123.58,Wheat,96.82,7.81,1281.97,33.37,75.48
153,76.72,Wheat,30.25,7.0,910.65,32.73,104.17
154,247.28,Corn,77.15,5.54,1700.04,30.49,311.35
155,492.9,Rice,62.84,5.53,1695.18,32.2,467.94
156,124.82,Corn,38.81,6.57,1111.5,14.98,273.53
157,337.71,Wheat,21.36,8.28,896.39,17.1,429.33
158,382.0,Wheat,13.02,6.19,916.35,17.22,250.65
159,122.63,Corn,61.89,7.4,1669.71,19.43,368.86
160,365.47,Rice,77.69,6.17,857.91,19.83,379.34
161,187.05,Rice,64.75,6.47,655.4,23.61,128.28
162,317.99,Wheat,53.5,8.04,443.97,14.0,212.55
163,318.6,Wheat,5.15,7.69,1093.38,27.28,336.79
164,270.21,Rice,96.88,5.79,1119.62,14.19,81.81
165,49.69,Corn,80.07,6.79,1729.54,17.76,212.69
166,418.47,Wheat,29.99,5.59,676.11,22.58,290.66
167,163.79,Wheat,98.02,6.94,947.69,29.91,498.3
168,97.33,Rice,60.59,7.49,1674.29,28.49,263.54
169,25.18,Corn,58.66,5.86,1700.16,26.14,417.23
170,297.49,Rice,75.06,6.37,953.84,13.89,244.43
171,340.39,Corn,81.37,6.69,1080.51,23.68,408.38
172,13.21,Corn,65.99,8.26,815.59,12.19,317.94
173,258.49,Corn,13.68,8.48,1885.34,19.43,448.97
174,117.12,Wheat,34.49,5.63,501.69,20.34,234.92
175,324.36,Rice,92.88,7.78,1887.37,11.0,321.94
176,91.31,Rice,23.24,6.62,1462.57,16.85,333.51
177,347.01,Corn,37.84,6.68,1203.67,33.89,237.82
178,196.43,Wheat,43.78,7.76,355.52,33.84,114.94
179,468.68,Wheat,44.5,8.26,1108.51,18.81,92.1
180,73.07,Rice,61.68,8.35,993.17,11.08,57.5
181,173.83,Wheat,94.36,7.23,574.07,14.48,443.09
182,61.17,Wheat,24.83,6.57,1415.9,19.81,156.41
183,462.72,Corn,13.03,7.86,1950.96,33.69,145.18
184,439.28,Wheat,20.55,6.25,1255.72,13.53,381.22
185,132.68,Corn,88.81,7.19,1515.08,29.09,194.01
186,331.69,Rice,64.94,6.58,416.37,12.72,277.72
187,409.52,Wheat,29.3,7.47,1010.03,34.53,123.13
188,279.82,Rice,81.78,6.22,497.81,19.54,481.89
189,267.18,Rice,86.28,6.07,1341.75,29.38,433.21
190,124.72,Wheat,84.8,8.25,1895.42,18.56,438.71
191,51.09,Wheat,91.97,5.81,1425.02,25.69,233.05
192,449.12,Rice,25.97,7.02,430.57,14.8,393.06
193,450.71,Wheat,75.75,6.16,902.93,13.65,114.74
194,318.39,Corn,46.59,5.62,1236.13,33.45,53.88
195,172.82,Corn,84.36,5.61,985.45,32.94,58.99
196,177.86,Wheat,73.12,6.03,1717.19,32.19,313.97
197,364.35,Rice,77.87,8.1,1684.94,25.64,254.93
198,449.07,Wheat,65.96,6.35,1340.11,30.21,283.11
199,444.11,Wheat,18.57,8.35,934.88,11.73,53.36
200,391.04,Rice,54.96,7.24,734.07,18.37,240.21
201,322.81,Rice,98.48,6.81,479.99,17.84,373.13
202,46.65,Corn,93.8,7.24,903.33,25.89,249.21
203,85.01,Rice,5.27,7.05,1002.39,18.9,379.5
204,449.78,Corn,17.32,7.78,1448.9,13.71,154.86
205,305.18,Rice,14.04,6.35,1418.87,24.91,415.91
206,9.55,Wheat,72.87,6.56,419.18,30.36,314.79
207,55.23,Corn,81.96,8.18,971.94,19.55,144.84
208,333.43,Corn,22.14,8.34,609.02,13.31,156.52
209,7.51,Corn,51.08,8.18,566.58,14.92,332.61
210,84.6,Wheat,84.23,6.76,1706.41,15.94,423.47
211,276.62,Wheat,73.55,7.84,371.26,17.5,237.03
212,347.49,Wheat,54.68,6.93,1012.61,26.07,166.24
213,327.72,Wheat,59.44,6.99,585.95,25.02,440.16
214,116.01,Wheat,51.33,6.11,1794.86,27.4,351.17
215,357.53,Corn,30.46,7.27,1246.97,19.06,251.64
216,122.44,Wheat,56.94,6.06,693.35,30.6,269.56
217,166.07,Corn,69.2,6.49,1154.13,15.1,141.92
218,374.51,Wheat,87.46,8.07,1543.53,21.73,332.06
219,326.57,Rice,63.99,6.12,1928.8,30.02,211.43
220,425.37,Corn,76.35,5.71,674.76,14.5,498.04
221,330.52,Rice,16.85,5.71,1806.51,12.75,266.08
222,286.31,Corn,46.69,8.32,1888.32,32.09,268.65
223,51.37,Rice,1.92,7.02,1857.91,18.57,304.63
224,187.02,Wheat,25.42,6.73,1380.2,27.1,462.54
225,136.28,Wheat,72.92,7.93,1370.7,10.63,410.37
226,125.77,Wheat,99.19,8.01,985.46,27.25,253.01
227,486.64,Corn,10.82,6.5,1579.08,17.9,373.41
228,199.58,Rice,40.75,7.58,1203.2,11.39,313.81
229,446.56,Wheat,80.21,7.81,1451.64,25.25,271.57
230,317.41,Rice,21.2,7.46,1028.38,16.02,136.54
231,398.43,Rice,55.95,5.95,1543.54,19.67,258.77
232,253.81,Wheat,73.57,8.13,1701.6,12.01,160.62
233,290.57,Wheat,61.98,7.12,548.94,13.68,461.68
234,248.8,Rice,19.61,6.35,1715.98,17.45,200.93
235,101.65,Wheat,36.18,6.78,1218.5,12.24,478.52
236,362.61,Wheat,78.6,5.61,1735.93,32.77,289.87
237,143.98,Wheat,55.87,5.88,1033.21,10.15,334.19
238,17.04,Corn,1.52,7.8,944.37,22.1,294.32
239,324.51,Rice,76.34,5.5,1855.6,13.08,108.22
240,92.67,Rice,4.5,6.75,726.99,17.69,219.12
241,470.53,Corn,74.83,7.07,1735.16,33.15,94.62
242,477.19,Rice,21.05,5.66,1122.83,14.04,330.33
243,457.86,Wheat,95.85,8.42,1173.96,34.15,251.09
244,188.23,Rice,37.43,6.18,824.4,15.14,400.09
245,12.65,Wheat,33.37,6.41,1274.17,28.54,149.21
246,464.52,Corn,15.74,6.41,852.86,23.67,124.05
247,216.95,Wheat,31.25,6.19,366.76,32.11,232.85
248,483.49,Rice,87.79,5.5,762.4,23.85,466.96
249,481.99,Rice,99.64,7.69,310.84,23.36,369.69
250,427.24,Rice,37.46,8.4,1963.2,14.89,238.52
251,150.75,Corn,45.41,6.17,1941.77,14.16,282.77
252,195.62,Corn,72.49,7.49,971.76,32.91,87.9
253,426.31,Rice,88.73,7.73,1538.23,18.2,493.06
254,161.88,Wheat,59.71,8.05,887.87,19.3,349.88
255,88.9,Corn,39.76,6.77,1440.86,29.0,178.43
256,280.62,Rice,41.85,6.41,1669.23,18.47,313.61
257,468.4,Rice,69.87,6.48,1909.49,33.8,99.27
258,349.53,Corn,1.32,7.64,980.36,28.45,484.63
259,287.18,Corn,62.34,7.95,1631.61,24.94,128.65
260,53.1,Corn,36.19,6.04,752.08,32.02,341.61
261,309.43,Wheat,79.63,6.61,1983.56,11.24,160.45
262,495.08,Wheat,10.21,8.21,343.81,16.43,372.9
263,74.34,Rice,59.23,7.92,1326.0,21.63,399.57
264,261.57,Corn,48.62,8.45,1421.16,15.67,353.04
265,439.3,Wheat,64.59,7.76,1469.68,28.6,326.52
266,371.68,Corn,7.42,6.68,504.66,32.98,451.61
267,350.02,Rice,58.42,7.27,1895.5,20.59,85.38
268,352.73,Wheat,56.59,7.48,608.01,18.55,198.91
269,182.95,Wheat,56.51,5.74,1358.68,34.04,161.73
270,150.33,Wheat,60.75,7.13,678.55,21.12,494.61
271,405.63,Rice,67.97,7.63,822.27,22.23,225.23
272,406.01,Corn,80.69,6.0,1228.98,18.79,379.68
273,434.2,Wheat,27.71,7.84,1009.23,32.74,358.13
274,457.05,Rice,82.68,7.25,572.38,24.22,145.44
275,258.11,Corn,50.33,8.36,590.59,29.05,157.55
276,253.25,Rice,8.63,5.63,1010.85,30.3,176.58
277,400.16,Corn,6.8,6.3,1587.38,18.55,235.01
278,326.73,Rice,34.09,7.3,1826.54,20.84,155.45
279,352.47,Corn,78.7,6.39,443.02,31.21,58.84
280,398.92,Wheat,71.06,7.64,968.28,19.08,445.73
281,445.55,Corn,79.07,7.78,470.42,29.85,484.52
282,172.31,Rice,52.21,5.81,328.21,33.52,203.71
283,190.91,Rice,44.58,7.04,1424.92,25.58,202.33
284,51.52,Corn,15.6,7.03,1324.16,28.54,53.19
285,291.25,Wheat,33.49,6.61,577.13,30.13,356.11
286,22.79,Wheat,43.97,8.3,697.48,31.13,421.45
287,235.47,Corn,9.77,7.98,340.3,19.88,115.97
288,273.61,Corn,22.84,7.59,1719.41,11.28,121.85
289,146.84,Rice,60.22,7.64,1956.97,20.05,405.54
290,297.46,Wheat,73.83,6.89,530.28,26.84,327.33
291,20.1,Corn,99.84,8.26,693.51,21.26,70.19
292,23.49,Wheat,93.38,7.58,1776.3,28.72,330.15
293,412.19,Corn,64.61,7.69,1874.99,18.92,189.01
294,183.29,Corn,42.7,8.09,1013.37,25.87,215.93
295,67.89,Wheat,63.98,6.32,386.06,14.66,396.38
296,263.51,Corn,78.78,7.92,366.97,28.73,414.92
297,386.15,Corn,12.72,6.09,1275.71,23.64,230.16
298,111.83,Rice,41.58,6.54,967.92,15.1,476.22
299,313.33,Corn,84.14,6.51,348.71,17.3,232.91
300,47.25,Corn,39.0,8.44,1291.53,28.72,397.33
301,30.58,Corn,57.62,8.07,319.21,22.07,267.74
302,268.02,Rice,59.19,7.6,1638.53,15.4,453.89
303,272.61,Wheat,19.26,7.68,820.94,34.18,458.49
304,320.53,Rice,36.86,7.19,368.44,27.88,89.34
305,364.42,Rice,34.12,8.34,1300.2,33.93,471.42
306,488.05,Wheat,3.59,6.99,976.06,20.68,421.49
307,260.57,Rice,3.39,6.64,1955.46,21.88,406.09
308,164.86,Wheat,83.34,5.99,1225.14,32.45,140.41
309,398.62,Rice,28.03,7.86,767.91,23.13,412.3
310,139.06,Wheat,52.29,7.7,1506.05,27.68,432.56
311,222.29,Corn,30.57,6.65,761.54,16.3,180.12
312,43.84,Rice,94.13,5.58,1837.21,21.17,478.52
313,17.55,Rice,26.67,8.02,937.03,13.09,72.44
314,481.51,Rice,43.54,5.53,1234.78,15.15,117.46
315,418.81,Rice,87.4,7.61,385.97,10.02,291.91
316,349.51,Corn,84.35,8.41,1024.41,10.98,309.11
317,207.43,Rice,19.42,6.81,1715.02,34.43,340.32
318,90.78,Corn,80.46,6.2,1669.6,16.06,57.64
319,82.44,Corn,46.36,7.61,681.34,26.58,482.17
320,128.87,Corn,48.81,7.95,684.33,30.98,70.06
321,276.87,Corn,14.21,7.14,1689.42,23.77,114.38
322,358.72,Wheat,8.98,8.4,1881.68,13.83,56.31
323,331.8,Wheat,73.07,5.66,462.11,28.2,305.09
324,143.57,Rice,50.15,7.01,1065.1,25.01,469.52
325,477.66,Wheat,44.25,7.66,873.67,28.28,349.68
326,370.26,Wheat,73.22,8.09,1780.17,29.24,420.2
327,279.41,Rice,76.79,6.04,441.99,34.39,55.98
328,307.8,Rice,16.73,7.9,658.91,24.34,293.91
329,212.7,Rice,61.41,7.16,1579.2,18.54,256.8
330,127.63,Wheat,14.4,6.69,387.2,26.21,274.54
331,181.21,Wheat,75.39,5.9,1137.31,11.71,82.5
332,380.13,Rice,66.04,8.1,1051.58,32.43,358.0
333,12.12,Corn,95.7,5.97,868.48,12.98,276.45
334,62.46,Rice,7.83,6.43,970.77,18.2,394.32
335,27.77,Corn,6.65,6.37,1200.9,30.39,268.38
336,25.16,Corn,28.94,8.11,574.32,24.93,117.22
337,428.45,Rice,26.91,7.52,1272.39,19.84,341.72
338,353.31,Rice,25.45,7.89,1669.23,21.84,127.57
339,239.72,Rice,90.72,6.25,1592.27,31.36,442.58
340,53.43,Wheat,25.71,7.37,561.63,18.5,325.9
341,248.35,Corn,27.92,7.22,553.72,31.74,120.74
342,239.37,Wheat,76.18,8.0,755.9,12.2,483.05
343,90.73,Wheat,45.52,8.22,913.83,29.42,283.26
344,219.76,Rice,77.89,5.54,994.37,31.19,82.8
345,202.26,Wheat,7.47,7.52,1455.49,14.55,332.07
346,309.85,Rice,49.27,5.66,396.36,20.76,163.94
347,319.37,Corn,4.33,7.15,358.94,14.14,411.66
348,27.43,Rice,7.2,6.36,966.25,27.67,418.02
349,190.43,Wheat,90.74,6.42,1485.18,23.38,490.53
350,314.8,Wheat,14.79,6.56,628.84,25.88,275.84
351,254.05,Rice,53.71,7.36,1390.56,14.91,254.73
352,428.96,Rice,41.7,6.5,741.71,15.29,389.06
353,331.05,Wheat,35.39,7.7,1806.35,11.04,109.61
354,85.65,Corn,90.08,6.71,1822.67,18.05,296.11
355,39.93,Corn,3.16,5.71,805.39,23.99,295.81
356,323.0,Rice,66.72,7.85,690.99,31.45,90.26
357,18.12,Corn,96.38,6.36,999.22,26.67,238.09
358,294.96,Wheat,56.46,6.8,708.9,20.88,433.98
359,470.41,Rice,93.75,7.56,1443.05,33.83,435.27
360,289.86,Wheat,6.17,6.5,1704.31,27.98,94.66
361,197.14,Wheat,42.46,5.67,1444.26,33.25,90.82
362,323.43,Corn,26.76,6.62,1701.4,23.19,168.21
363,231.84,Rice,73.35,8.33,974.89,16.47,443.64
364,275.08,Rice,98.15,7.43,565.74,11.32,108.01
365,471.03,Corn,26.4,7.51,1554.52,28.15,374.0
366,196.12,Wheat,65.76,7.4,912.81,13.03,95.52
367,480.79,Wheat,20.61,6.1,1441.16,17.57,330.41
368,453.15,Wheat,56.97,6.76,760.09,23.31,210.23
369,101.92,Wheat,46.93,7.75,438.09,24.11,405.01
370,39.33,Rice,97.23,5.8,1987.39,25.01,155.16
371,54.89,Rice,61.24,6.33,565.54,14.16,337.64
372,14.02,Corn,35.6,6.33,1980.32,19.49,156.06
373,51.75,Corn,12.3,6.8,1961.38,25.43,371.15
374,343.09,Rice,15.97,8.44,1649.49,34.25,443.16
375,40.24,Rice,23.31,5.7,1421.02,28.19,107.06
376,162.89,Wheat,25.85,7.06,1282.27,33.07,439.97
377,423.21,Wheat,85.21,6.04,1772.37,29.06,317.11
378,16.52,Corn,56.56,8.41,792.05,24.79,107.2
379,408.16,Rice,52.82,5.84,1095.06,14.8,242.39
380,144.52,Corn,12.36,6.71,1352.96,26.67,122.39
381,63.49,Rice,86.15,7.71,999.02,25.58,365.16
382,349.88,Wheat,72.56,7.61,1026.73,25.06,391.49
383,316.33,Corn,7.7,6.77,861.48,22.24,97.61
384,439.35,Corn,71.08,6.54,1259.19,23.22,277.76
385,368.86,Rice,54.81,6.69,1745.98,18.36,416.58
386,402.72,Wheat,9.09,6.29,642.6,22.98,471.27
387,144.61,Corn,46.37,6.12,1888.54,14.94,281.08
388,92.83,Wheat,48.98,6.95,1471.45,30.13,477.63
389,376.55,Corn,17.41,6.31,1699.56,14.64,291.06
390,404.38,Wheat,94.62,6.36,1245.52,12.12,227.39
391,495.3,Rice,85.15,7.47,1625.18,20.91,431.69
392,209.25,Corn,67.23,8.41,327.54,26.46,271.84
393,189.15,Corn,46.77,7.31,1691.25,20.94,262.36
394,389.32,Wheat,41.76,5.73,368.24,16.92,270.64
395,173.7,Wheat,65.45,5.73,1812.85,23.95,431.05
396,465.72,Corn,55.0,8.35,1986.34,18.68,424.37
397,429.91,Rice,7.17,6.39,799.91,33.32,231.58
398,217.35,Wheat,51.74,5.78,657.54,33.07,199.98
399,376.68,Wheat,80.83,7.3,1601.12,22.56,271.37
400,378.5,Wheat,46.46,7.37,730.14,18.2,307.75
401,56.05,Corn,6.14,7.45,1771.46,28.43,157.25
402,451.76,Corn,78.84,6.3,474.83,10.92,407.28
403,255.1,Corn,20.94,5.55,514.12,21.87,268.92
404,414.1,Corn,26.6,8.4,1964.56,18.41,200.32
405,163.42,Rice,17.31,6.25,1445.53,33.01,98.07
406,448.28,Rice,33.69,7.53,1739.71,10.3,157.48
407,197.65,Corn,75.92,7.62,851.36,23.82,477.18
408,10.36,Rice,52.42,7.33,1450.02,28.52,187.29
409,453.16,Wheat,21.28,6.44,1310.21,22.13,125.99
410,50.19,Wheat,87.91,6.31,1325.36,12.14,257.3
411,163.06,Wheat,88.08,7.29,1460.31,34.31,188.19
412,475.28,Corn,87.19,8.1,1278.11,22.95,65.82
413,475.55,Wheat,24.64,8.34,1029.41,25.35,195.42
414,288.85,Rice,45.67,5.82,769.07,15.92,294.85
415,317.76,Corn,98.51,5.96,1606.59,22.09,298.27
416,226.98,Rice,77.43,8.33,684.66,20.73,210.45
417,150.14,Wheat,3.69,7.71,1477.0,11.87,251.29
418,167.69,Wheat,7.46,8.15,696.67,12.65,484.48
419,337.9,Wheat,46.93,6.11,1363.06,30.94,219.81
420,377.43,Corn,91.01,7.26,1570.03,16.0,166.2
421,396.83,Rice,54.33,7.6,671.81,14.87,159.56
422,395.86,Corn,50.28,7.54,401.9,22.62,255.99
423,50.15,Corn,11.44,6.72,522.66,29.22,391.78
424,249.74,Wheat,66.02,5.55,1330.19,11.55,142.69
425,33.49,Corn,82.39,7.25,1744.06,24.42,369.18
426,277.02,Corn,38.66,6.26,376.49,12.98,59.52
427,223.56,Wheat,77.79,6.85,1548.06,10.91,238.52
428,444.41,Corn,96.48,8.37,880.24,11.32,399.14
429,178.7,Wheat,21.17,6.7,1113.5,30.85,202.43
430,62.95,Wheat,52.81,8.02,1879.06,12.95,303.68
431,75.78,Wheat,29.43,6.07,864.35,11.13,142.24
432,381.95,Wheat,79.49,7.52,1091.07,20.95,383.9
433,311.02,Corn,58.18,8.43,323.26,31.1,73.53
434,55.06,Wheat,63.82,5.81,438.72,16.56,433.64
435,46.63,Wheat,79.99,5.52,739.61,20.54,139.19
436,351.98,Corn,40.2,6.8,347.35,11.0,443.48
437,41.02,Corn,91.59,5.78,1373.34,21.23,208.64
438,411.82,Rice,53.77,7.75,1024.88,24.44,375.21
439,354.59,Corn,16.64,8.24,1231.85,24.27,193.65
440,45.27,Corn,69.89,6.8,596.9,18.31,457.66
441,46.99,Rice,79.53,6.28,803.08,17.89,106.99
442,493.39,Corn,32.36,6.8,1428.5,12.67,130.33
443,190.26,Corn,85.86,7.67,1941.01,19.17,271.86
444,188.47,Corn,90.71,5.53,385.71,12.49,86.87
445,407.34,Corn,28.41,7.27,1813.65,29.16,138.19
446,473.89,Rice,98.37,7.34,1280.7,34.16,474.69
447,493.07,Corn,14.93,7.41,1258.66,34.25,489.42
448,377.92,Corn,21.0,6.23,1150.47,31.63,219.32
